59.3.96.19 - - [03/Dec/2018:15:12:17 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:12:21 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:12:21 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:10 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:20 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:20 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:39 +0900] "GET /CSS/1203/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:58 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:58 +0900] "GET /CSS/1203/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:14:59 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:15:22 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:15:22 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:11 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:11 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:16 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:16 +0900] "GET /CSS/1203/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:18 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:18 +0900] "GET /CSS/1203/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:15:17:46 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
